Player,Team,Batting_Level,Bowling_Level,Fielding_Level,Predicted_Role,Batter_Confidence,Bowler_Confidence,Fielder_Confidence,AllRounder_Confidence,Wicketkeeper_Confidence
Omesh Reddy Anantha,Street Strikers,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Bilal Qamar,Optimist CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Surya Manchala,Renegades CC,3,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Muhammad Harris,Lasalle Lightning CC,3,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Shahryar Ahmad,Windsor Lions CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Vamsi krishna,Mavericks CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jatin Bhalla,Chatham CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Ruchit Patel,Gujarat Super Lions,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Harpreet Singh,Windsor Warriors,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kush Patel,Vulcans CC,2,4,4,Fielder,0.0015753232,0.0030556908,0.0044303755,0.0008494055,0.00096294575
Abhishek Tyagi,Underdogs CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Pradith Jayathi,Trophy Fighters,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rudra Chauhan,EOCC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Mehmood Hussain,Windsor Dominion CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amandeep Singh,Windsor Lions CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Manohar Reddy Anukuri,Chatham CC,3,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Pruthiv Anke,Optimist CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Keyur Italia,Gujarat Lions CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Om Patel,Underdogs CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pradith Jayanthi,Trophy Fighters,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Piyush Parate,Windsor Dominion CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ashar Badar,Chatham CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sandeep Panjeta,FSC WINDSOR,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dhruv Mehta,Windsor Lions CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Dipen Bhatt,Gujarat Super Lions,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Aarav Kuyeskar,EOCC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Parkash Bhullar,Windsor Warriors,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Tapan Rao,Gujarat Super Lions,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Zain Rafi,Optimist CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Samuel Dsouza,Vulcans CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Saikishore Reddy Buddol,Street Strikers,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amrit Khuttan,FSC WINDSOR,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sreenath Reddy,Mavericks CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Avi Patel,Chatham CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Jasvir Bal,Punjab XI CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Robin Robin,St.Clair College,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Asok Sampath,Renegades X,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Sivakumar Ilango,Renegades X,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bhuvanesh Gokul,Renegades CC,3,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Ammar Hussain,Windsor Dominion CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kshitij Punj,Punjab XI CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Navjeevan Singh,Malik CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Akhil Kumar,Mavericks CC,3,3,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Srivatsan Vasudevan,Renegades CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Murali Kakarla,Trophy Fighters,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Samanth Patel,Underdogs CC,2,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Sai Akhil,Trophy Fighters,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Ali Maqbool,Lasalle Lightning CC,2,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Adil Shinwar,Windsor Lions CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Harsh Rao,Gujarat Super Lions,2,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Sukh-e khosa,Windsor Dominion CC,3,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Shafiuddin Khan,Malik CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Lenwin Dsilva,Lasalle Lightning CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kashif Saeed,Windsor Lions CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Krunalkumar Chaudhari,Windsor Lancers CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Om Dakoriya,St.Clair College,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Siva Krishna Meesala,Mavericks CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nishant Padhiyar,WEUnited CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Deepan Dhingra,Windsor Tigers CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Mohd Shajid,EOCC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Srikanth Poshala,Chatham CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Samuel Sadayone,Mavericks CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Devendra Cheema Singh,Malik CC,2,4,3,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Parthik Modi,Chatham CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Abdul Rauf,Windsor Lions CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Maurice Crosdale,Cavaliers CC of Windsor,3,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Murali Vijay Wardpalli Shyam,St.Clair College,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Waqas Ahmed,Malik CC,2,4,2,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Sahil Dubey,Underdogs CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pavittar Bhandal,FSC WINDSOR,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Anwar Hosen,Chatham CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Yogesh Ghai,Windsor Tigers CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kushal Sarao,Windsor Royals CC,2,4,1,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Anuj Shukla,Trophy Fighters,2,4,1,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Inderjit Rehal,Cavaliers CC of Windsor,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Mohmmad Ali,Windsor Lancers CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Azan Ali,Optimist CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Hemanth Bethapudi,Mavericks CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sony M,Trophy Fighters,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sahil Khan,Underdogs CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sai Swaroop Angirekula,Windsor Lancers CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jagtar Kaler,FSC WINDSOR,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Karthikeyan Kaliyappan,Renegades CC,2,4,1,Bowler,0.0015753232,0.0030556908,0.0016853807,0.0008494055,0.00096294575
Mario Brown,Chatham CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Lovepreet Singh,St.Clair College,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Towhid Chowdhury,Malik CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ravi Patel,Windsor Dominion CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Rohang Soni,Gujarat Super Lions,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Talwinder Singh,EOCC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nasser Malik,Malik CC,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Zain Ul Abdin,Windsor Dominion CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bhalaji Sadagopa Ramanujam,Renegades X,2,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Mohan K,Trophy Fighters,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jamal Ansari,Lasalle Lightning CC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ruturajsinh Solanki,WEUnited CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dinesh Pabba,Street Strikers,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ismail Khan,Windsor Warriors,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Deekshit P,Trophy Fighters,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bilal Tariq,Windsor Dominion CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dushyant Joshi,Windsor Lancers CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sai Gokul,Lasalle Lightning CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dharmesh Sakhiya,Gujarat Lions CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Piyush Kapoor,EOCC,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rohan R,Trophy Fighters,2,3,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Gagandeep Grewal,Windsor Tigers CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
⁠krishna Vamsi Mudumunthala,Street Strikers,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Riyaz Khan,Chatham CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ankur Patel,WEUnited CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kalpit Patel,Windsor Dominion CC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Gursaharn Singh Dhami,Underdogs CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vashisth U,Underdogs CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Tejinder Singh,Windsor Lions 2,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Asif Mohammed Shaik,Street Strikers,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Tilak Patel,Gujarat Lions CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kamal Saeed Raja,Lasalle Lightning CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Aryan Kohli,St.Clair College,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Urvil Desai,Gujarat Super Lions,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ankur Patel,Gujarat Lions CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sandeep Singh Panjeta,Renegades X,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Meet Patel,St.Clair College,3,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nishant Chauhan,Windsor Dominion CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bakht Jamal,Lasalle Lightning CC,2,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Eniyavan Subramanian,Renegades X,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Perry Isidore,Cavaliers CC of Windsor,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Qasim Riaz Ahmed,WEUnited CC,3,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Harjot Singh,Windsor Tigers CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Varsil Shah,Gujarat Lions CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Harshil Prajapati,Windsor Royals CC,2,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Vaibhav Ajjarapu,Street Strikers,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Yogesh Mittal,Underdogs CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Tushar Shi,EOCC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vikram Kovvuri,Mavericks CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Waqas Ahmed,Alpha XI,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Debanjan Banik,Vulcans CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Neel Patel,EOCC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Siva Sreekanth,Renegades X,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rajandeep Malhi,Windsor Warriors,2,2,5,Fielder,0.0015753232,0.0018361142,0.96650845,0.0008494055,0.0155655015
Rasheem Kolangara,Renegades X,3,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Loganathan Soundarajan,Renegades X,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Archit Singh,Renegades CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kartik Sharma,Alpha XI,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Danial Malik,Windsor Dominion CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nikhil Kanchan,EOCC,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Karan Shah,Windsor Lancers CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Arsh Khehra,FSC WINDSOR,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Akash Muralidharan,Super Chargers,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Yash Padhiar,EOCC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bijen Patel,Gujarat Lions CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pavan Rao Airneni,Trophy Fighters,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Baljinder Kular,Lasalle Lightning CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kamal Preet,Underdogs CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Akshit Rane,Gujarat Super Lions,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dhaval Patel,Gujarat Super Lions,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Fahad Amin,Alpha XI,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Suraj Sundarraj,Chatham CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sahibpreet Singh,Punjab XI CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kemar Allen,Cavaliers CC of Windsor,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Iqbal Sidhu,Punjab XI CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Bilal Sohail,Optimist CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dhruv Kukadiya,Windsor Dominion CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sahil Dubey,Windsor Dominion CC,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rajesh Reddy Pinnapureddy,Street Strikers,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Badaruddin Khuhro,Windsor Dominion CC,3,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Bhupinder Singh Randhawa,FSC WINDSOR,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Muhammad Ali,Cavaliers CC of Windsor,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Uttej Reddy,Windsor Royals CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jahanzeb Khan,Lasalle Lightning CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Brahma Teja,Trophy Fighters,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Manan Thaker,FSC WINDSOR,3,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sudhakar Reddy,Trophy Fighters,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Priyanshu Ghetiya,Gujarat Super Lions,3,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Xumair Hassan,Windsor Warriors,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jamal Ansari,WEUnited CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sandeep Reddy,Vulcans CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Maniraaj Senthil Nathan,Windsor Lancers CC,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Adil Shahriyar,Optimist CC,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Gaurav Sharma,Gujarat Super Lions,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kaarthik Esakkidurai,Renegades X,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sriharsha Kusuma,Windsor Lancers CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ghulam Samdani,Windsor Dominion CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Abhirama Penubaka,Trophy Fighters,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Rinshad K,Renegades X,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Nisarg Patel,EOCC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amit Duhan,FSC WINDSOR,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kesav Varada,Street Strikers,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amish patel,Gujarat Super Lions,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Anmol Jain,Windsor Warriors,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Arshdeep Singh,Underdogs CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kamaljeet Singh,Underdogs CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Richik S,Alpha XI,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jagwinder Singh,Gujarat Super Lions,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Kaival Patel,Windsor Royals CC,2,3,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Hassan Md,Underdogs CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vishal Kamal,Gujarat Super Lions,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pavan Kumar Morasa,Trophy Fighters,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Ravi Patel,Underdogs CC,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Jay D,Windsor Dominion CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vignesh R,Renegades X,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Sahil Khan,Malik CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Pankaj Chauhan,FSC WINDSOR,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Omair Choudhry,Alpha XI,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Dhruv Juneja,Vulcans CC,2,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Abilash Sukhavasi,Optimist CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Khalid Siddiqui,WEUnited CC,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Paranjothi Gopalan,Renegades CC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Prince Christian,EOCC,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Shreyansh Patel,WEUnited CC,2,3,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Minhaaz M,Underdogs CC,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Vicky Choudhary,Chatham CC,2,2,3,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Basit Khan,Alpha XI,3,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Aman Patel,Gujarat Lions CC,2,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amroj S,Chatham CC,2,2,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Phani Ram Challagolla,Street Strikers,2,3,1,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
Amra Mansuri,St.Clair College,2,2,4,Fielder,0.0015753232,0.0018361142,0.0044303755,0.0008494055,0.00096294575
Abdullah Shireen,Optimist CC,2,2,2,Bowler,0.0015753232,0.0018361142,0.0016853807,0.0008494055,0.00096294575
